    1     2
   -1    -2
    2     1
   -2    -1
    3     3
   -3    -3
    4     4
   -4    -4
    5     5
   -5    -5
    6     6
   -6    -6
    9    21
   10    22
   11    12
  -11   -12
   12    11
  -12   -11
   13    14
  -13   -14
   14    13
  -14   -13
   15    16
  -15   -16
   16    15
  -16   -15
   20   310
  -20   130
   80    24
  -80   -24
   90    23
  110   111
  120   211
 -120  -211
  220   221
  130   321
 -130  -321
  230   311
 -230  -311
  330   331
  140  -421
 -140   421
  240  -411
 -240   411
  440   441
  111   113
  121   213
 -121  -213
  221   223
  131   323
 -131  -323
  231   313
 -231  -313
  331   333
  141  -423
 -141   423
  241  -413
 -241   413
  441   443
 1120  2212
-1120 -2212
 1220  2112
-1220 -2112
 1130  3222
-1130 -3222
 1230  3212
-1230 -3212
 2130  3122
-2130 -3122
 2230  3112
-2230 -3112
 1330  3322
-1330 -3322
 2330  3312
-2330 -3312
 1140  4222
-1140 -4222
 1240  4212
-1240 -4212
 2140  4122
-2140 -4122
 2240  4112
-2240 -4112
 3331  3334
-3331 -3334
